id,embedding_index,image_url,clip_success
90249,145,https://openaccess-cdn.clevelandart.org/2015.517/2015.517_web.jpg,True
145999,146,https://openaccess-cdn.clevelandart.org/1971.2/1971.2_web.jpg,True
151971,147,https://openaccess-cdn.clevelandart.org/1984.43/1984.43_web.jpg,True
96263,148,https://openaccess-cdn.clevelandart.org/1916.1979.1/1916.1979.1_web.jpg,True
137195,149,https://openaccess-cdn.clevelandart.org/1962.151/1962.151_web.jpg,True
111435,150,https://openaccess-cdn.clevelandart.org/1929.920/1929.920_web.jpg,True
140148,151,https://openaccess-cdn.clevelandart.org/1964.150/1964.150_web.jpg,True
147020,152,https://openaccess-cdn.clevelandart.org/1972.50/1972.50_web.jpg,True
148966,153,https://openaccess-cdn.clevelandart.org/1977.123/1977.123_web.jpg,True
95272,154,https://openaccess-cdn.clevelandart.org/1916.1044/1916.1044_web.jpg,True
122345,155,https://openaccess-cdn.clevelandart.org/1942.641/1942.641_web.jpg,True
128394,156,https://openaccess-cdn.clevelandart.org/1951.358/1951.358_web.jpg,True
143206,157,https://openaccess-cdn.clevelandart.org/1967.17/1967.17_web.jpg,True
128363,158,https://openaccess-cdn.clevelandart.org/1951.323/1951.323_web.jpg,True
150841,159,https://openaccess-cdn.clevelandart.org/1982.247/1982.247_web.jpg,True
134237,160,https://openaccess-cdn.clevelandart.org/1956.719/1956.719_web.jpg,True
144968,161,https://openaccess-cdn.clevelandart.org/1970.162/1970.162_web.jpg,True
135238,162,https://openaccess-cdn.clevelandart.org/1958.25/1958.25_web.jpg,True
150083,163,https://openaccess-cdn.clevelandart.org/1980.288/1980.288_web.jpg,True
139729,164,https://openaccess-cdn.clevelandart.org/1963.502/1963.502_web.jpg,True
144967,165,https://openaccess-cdn.clevelandart.org/1970.161/1970.161_web.jpg,True
144966,166,https://openaccess-cdn.clevelandart.org/1970.160/1970.160_web.jpg,True
152006,167,https://openaccess-cdn.clevelandart.org/1984.59/1984.59_web.jpg,True
167142,168,https://openaccess-cdn.clevelandart.org/2009.157/2009.157_web.jpg,True
145452,169,https://openaccess-cdn.clevelandart.org/1971.100/1971.100_web.jpg,True
122344,170,https://openaccess-cdn.clevelandart.org/1942.640/1942.640_web.jpg,True
153389,171,https://openaccess-cdn.clevelandart.org/1986.74/1986.74_web.jpg,True
154244,172,https://openaccess-cdn.clevelandart.org/1988.57/1988.57_web.jpg,True
157501,173,https://openaccess-cdn.clevelandart.org/1994.4/1994.4_web.jpg,True
112856,174,https://openaccess-cdn.clevelandart.org/1931.449/1931.449_web.jpg,True
173167,175,https://openaccess-cdn.clevelandart.org/1915.682/1915.682_web.jpg,True
108809,176,https://openaccess-cdn.clevelandart.org/1926.488/1926.488_web.jpg,True
91231,177,https://openaccess-cdn.clevelandart.org/2020.105/2020.105_web.jpg,True
155822,178,https://openaccess-cdn.clevelandart.org/1991.134.2/1991.134.2_web.jpg,True
159488,179,https://openaccess-cdn.clevelandart.org/1996.26/1996.26_web.jpg,True
143140,180,https://openaccess-cdn.clevelandart.org/1967.125/1967.125_web.jpg,True
95259,181,https://openaccess-cdn.clevelandart.org/1916.1032/1916.1032_web.jpg,True
143234,182,https://openaccess-cdn.clevelandart.org/1967.19/1967.19_web.jpg,True
136470,183,https://openaccess-cdn.clevelandart.org/1960.47/1960.47_web.jpg,True
108999,184,https://openaccess-cdn.clevelandart.org/1927.171/1927.171_web.jpg,True
143477,185,https://openaccess-cdn.clevelandart.org/1967.5/1967.5_web.jpg,True
121946,186,https://openaccess-cdn.clevelandart.org/1942.247/1942.247_web.jpg,True
156420,187,https://openaccess-cdn.clevelandart.org/1992.2/1992.2_web.jpg,True
141641,188,https://openaccess-cdn.clevelandart.org/1965.235/1965.235_web.jpg,True
170082,189,https://openaccess-cdn.clevelandart.org/2012.30/2012.30_web.jpg,True
169545,190,https://openaccess-cdn.clevelandart.org/2011.37/2011.37_web.jpg,True
130391,191,https://openaccess-cdn.clevelandart.org/1953.155/1953.155_web.jpg,True
134610,192,https://openaccess-cdn.clevelandart.org/1957.141/1957.141_web.jpg,True
125234,193,https://openaccess-cdn.clevelandart.org/1947.196/1947.196_web.jpg,True
151969,194,https://openaccess-cdn.clevelandart.org/1984.41/1984.41_web.jpg,True
113945,195,https://openaccess-cdn.clevelandart.org/1933.220/1933.220_web.jpg,True
149978,196,https://openaccess-cdn.clevelandart.org/1980.202/1980.202_web.jpg,True
307326,197,https://openaccess-cdn.clevelandart.org/2018.1/2018.1_web.jpg,True
159309,198,https://openaccess-cdn.clevelandart.org/1996.1/1996.1_web.jpg,True
122223,199,https://openaccess-cdn.clevelandart.org/1942.536/1942.536_web.jpg,True
143761,200,https://openaccess-cdn.clevelandart.org/1968.20/1968.20_web.jpg,True
97157,201,https://openaccess-cdn.clevelandart.org/1916.795/1916.795_web.jpg,True
115394,202,https://openaccess-cdn.clevelandart.org/1936.18/1936.18_web.jpg,True
117774,203,https://openaccess-cdn.clevelandart.org/1938.392/1938.392_web.jpg,True
124078,204,https://openaccess-cdn.clevelandart.org/1944.80/1944.80_web.jpg,True
134607,205,https://openaccess-cdn.clevelandart.org/1957.139/1957.139_web.jpg,True
143772,206,https://openaccess-cdn.clevelandart.org/1968.21/1968.21_web.jpg,True
169684,207,https://openaccess-cdn.clevelandart.org/2011.49/2011.49_web.jpg,True
124080,208,https://openaccess-cdn.clevelandart.org/1944.82/1944.82_web.jpg,True
127573,209,https://openaccess-cdn.clevelandart.org/1950.252/1950.252_web.jpg,True
141929,210,https://openaccess-cdn.clevelandart.org/1965.469/1965.469_web.jpg,True
139727,211,https://openaccess-cdn.clevelandart.org/1963.500/1963.500_web.jpg,True
122346,212,https://openaccess-cdn.clevelandart.org/1942.642/1942.642_web.jpg,True
443541,213,https://openaccess-cdn.clevelandart.org/2021.148/2021.148_web.jpg,True
94966,214,https://openaccess-cdn.clevelandart.org/1915.527/1915.527_web.jpg,True
150115,215,https://openaccess-cdn.clevelandart.org/1980.37/1980.37_web.jpg,True
294155,216,https://openaccess-cdn.clevelandart.org/2017.4/2017.4_web.jpg,True
129220,217,https://openaccess-cdn.clevelandart.org/1952.112/1952.112_web.jpg,True
150851,218,https://openaccess-cdn.clevelandart.org/1982.256/1982.256_web.jpg,True
140152,219,https://openaccess-cdn.clevelandart.org/1964.153/1964.153_web.jpg,True
149769,220,https://openaccess-cdn.clevelandart.org/1979.81/1979.81_web.jpg,True
124256,221,https://openaccess-cdn.clevelandart.org/1945.25/1945.25_web.jpg,True
124040,222,https://openaccess-cdn.clevelandart.org/1944.524/1944.524_web.jpg,True
